date,controller,battery_size,original_peak,realized_peak,peak_reduction,peak_reduction_pct,total_charge,total_discharge,throughput,initial_soc,initial_soc_error,terminal_soc,terminal_soc_error,forecast_peak,solver_status
2017-12-12,Oracle,Medium,468.0000000000,436.0486725664,31.9513274336,6.8272067166,251.6814159292,226.5132743363,478.1946902655,366.3887497592,0.0000000000,366.3887497592,0.0000000000,436.0486725664,0: optimal
2017-12-13,Oracle,Medium,477.0000000000,437.0929203540,39.9070796460,8.3662640767,292.3008849558,263.0707964602,555.3716814159,366.3887497592,0.0000000000,366.3887497592,0.0000000000,437.0929203540,0: optimal
2017-12-14,Oracle,Medium,471.0000000000,436.8728070175,34.1271929825,7.2456885313,279.4736842105,251.5263157895,531.0000000000,366.3887497592,0.0000000000,366.3887497592,0.0000000000,436.8728070175,0: optimal
2017-12-15,Oracle,Medium,476.0000000000,436.1725663717,39.8274336283,8.3671079051,271.4159292035,244.2743362832,515.6902654867,366.3887497592,0.0000000000,366.3887497592,0.0000000000,436.1725663717,0: optimal
2017-12-16,Oracle,Medium,425.0000000000,412.1504424779,12.8495575221,3.0234252993,76.1061946903,68.4955752212,144.6017699115,366.3887497592,0.0000000000,366.3887497592,0.0000000000,412.1504424779,0: optimal
2017-12-17,Oracle,Medium,423.0000000000,411.3612334802,11.6387665198,2.7514814468,76.6960352423,69.0264317181,145.7224669604,366.3887497592,0.0000000000,366.3887497592,0.0000000000,411.3612334802,0: optimal
2017-12-18,Oracle,Medium,462.0000000000,431.0660792952,30.9339207048,6.6956538322,265.8590308370,239.2731277533,505.1321585903,366.3887497592,0.0000000000,366.3887497592,0.0000000000,431.0660792952,0: optimal
2017-12-19,Oracle,Medium,467.0000000000,439.9911894273,27.0088105727,5.7834712147,227.8854625551,205.0969162996,432.9823788546,366.3887497592,0.0000000000,366.3887497592,0.0000000000,439.9911894273,0: optimal
2017-12-20,Oracle,Medium,461.0000000000,435.7743362832,25.2256637168,5.4719444071,195.8407079646,176.2566371681,372.0973451327,366.3887497592,0.0000000000,366.3887497592,0.0000000000,435.7743362832,0: optimal
2017-12-21,Oracle,Medium,460.0000000000,431.0396475771,28.9603524229,6.2957287876,229.5154185022,206.5638766520,436.0792951542,366.3887497592,0.0000000000,366.3887497592,0.0000000000,431.0396475771,0: optimal
2017-12-22,Oracle,Medium,444.0000000000,412.9288888889,31.0711111111,6.9979979980,172.9333333333,155.6400000000,328.5733333333,366.3887497592,0.0000000000,366.3887497592,0.0000000000,412.9288888889,0: optimal
2017-12-23,Oracle,Medium,400.0000000000,391.1409691630,8.8590308370,2.2147577093,63.8325991189,57.4493392070,121.2819383260,366.3887497592,0.0000000000,366.3887497592,0.0000000000,391.1409691630,0: optimal
2017-12-24,Oracle,Medium,395.0000000000,389.8333333333,5.1666666667,1.3080168776,30.0000000000,27.0000000000,57.0000000000,366.3887497592,0.0000000000,366.3887497592,0.0000000000,389.8333333333,0: optimal
2017-12-25,Oracle,Medium,390.0000000000,385.8991228070,4.1008771930,1.0515069726,25.7894736842,23.2105263158,49.0000000000,366.3887497592,0.0000000000,366.3887497592,0.0000000000,385.8991228070,0: optimal
2017-12-26,Oracle,Medium,400.0000000000,388.2522123894,11.7477876106,2.9369469027,80.5309734513,72.4778761062,153.0088495575,366.3887497592,0.0000000000,366.3887497592,0.0000000000,388.2522123894,0: optimal
2017-12-27,Oracle,Medium,426.0000000000,402.8165938865,23.1834061135,5.4421141112,175.9825327511,158.3842794760,334.3668122271,366.3887497592,0.0000000000,366.3887497592,0.0000000000,402.8165938865,0: optimal
2017-12-28,Oracle,Medium,427.0000000000,411.9956140351,15.0043859649,3.5139077201,128.9473684211,116.0526315789,245.0000000000,366.3887497592,0.0000000000,366.3887497592,0.0000000000,411.9956140351,0: optimal
2017-12-29,Oracle,Medium,430.0000000000,410.1858407080,19.8141592920,4.6079440214,134.6017699115,121.1415929204,255.7433628319,366.3887497592,0.0000000000,366.3887497592,0.0000000000,410.1858407080,0: optimal
2017-12-30,Oracle,Medium,411.0000000000,405.4513274336,5.5486725664,1.3500419870,38.3185840708,34.4867256637,72.8053097345,366.3887497592,0.0000000000,366.3887497592,0.0000000000,405.4513274336,0: optimal
2017-12-31,Oracle,Medium,404.0000000000,400.2035398230,3.7964601770,0.9397178656,18.8495575221,16.9646017699,35.8141592920,366.3887497592,0.0000000000,366.3887497592,0.0000000000,400.2035398230,0: optimal
2017-12-02,Persistence,Small,426.0000000000,449.4092091915,-23.4092091915,-5.4951195285,212.1198978726,190.9079080853,403.0278059579,183.1943748796,0.0000000000,183.1943748796,0.0000000000,447.4092091915,0: optimal
2017-12-03,Persistence,Small,432.0000000000,427.0176211454,4.9823788546,1.1533284386,64.2290748899,57.8061674009,122.0352422907,183.1943748796,0.0000000000,183.1943748796,0.0000000000,416.0176211454,0: optimal
2017-12-04,Persistence,Small,465.0000000000,459.8201754386,5.1798245614,1.1139407659,86.8421052632,78.1578947368,165.0000000000,183.1943748796,0.0000000000,183.1943748796,0.0000000000,417.8201754386,0: optimal
